iyear,imonth,iday,country_txt,provstate,city,latitude,longitude,location,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,gtype,grace,weaptype1,weaptype1_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ransom,ransomamt
1971,5,9,United States,California,Berkeley,37.869885,-122.270539,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Bank of America,Bank of America,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1971,5,11,United States,California,Los Angeles,34.05349,-118.245319,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,,Los Angeles Savings & Loan,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1971,5,23,United States,California,Oakland,37.805065,-122.273024,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Bank of America,Bank of America,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),20000,,0,
1971,6,3,United States,California,Los Angeles,34.073581,-118.178641,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,,United California Bank,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),10000,,0,
1971,6,6,United States,California,Menlo Park,37.454697,-122.177909,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,,Wells Fargo Bank,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),5000,,0,
1971,6,10,United States,California,Petaluma,38.232471,-122.644448,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Bank of America,Bank of America,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),150,,0,
1971,6,24,United States,California,Oakland,37.805065,-122.273024,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Bank of America,Bank of America,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),2000,,0,
1971,6,26,United States,California,Los Angeles,34.05349,-118.245319,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,,Security Pacific National Bank,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1971,8,12,United States,Pennsylvania,Pittsburgh,40.438335,-79.997459,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Bank of America,Bank of America,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1971,11,15,United States,Massachusetts,Cambridge,42.36679,-71.106019,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,,Bank,217,United States,Sons of Liberty,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1971,11,17,United States,California,San Francisco,37.777125,-122.419644,,1,0,7,Facility/Infrastructure Attack,1,Business,3,Bank/Commerce,Bank of America,Bank of America,217,United States,Unknown,Left-Wing,NA,8,Incendiary,Incendiary,0,,,0,,,1,,,,,0,
1971,11,18,United States,New York,Deer Park,40.75815,-73.327739,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,,Bank,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),2500,,0,
1971,12,15,United States,Massachusetts,Cambridge,42.365288,-71.104359,Central Square,0,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Cambridgeport Savings Bank,"Cambridgeport Savings Bank, Cambridge Massachusetts",217,United States,Sons of Liberty,Left-Wing,NA,6,Explosives/Bombs/Dynamite,eighteen inch pipe bomb connected to a wrist watch,0,0,0,0,0,0,0,,,,,0,
1971,12,20,United States,Massachusetts,Cambridge,42.36679,-71.106019,,1,0,3,Bombing/Explosion,3,Police,22,"Police Building (headquarters, station, school)",Cambridge Police Department,Cambridge Police Headquarters,217,United States,Comrades in Arms,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Pipe bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Two windows shattered and interior of building damaged.  Communications partly disrupted.,0,
1972,2,16,United States,New Hampshire,Manchester,42.991175,-71.463089,,1,0,3,Bombing/Explosion,3,Police,22,"Police Building (headquarters, station, school)",,Police department/fire department,217,United States,People's Liberation Army (United States),Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1975,4,28,United States,Colorado,Denver,39.74001,-104.992259,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,,American National Bank,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),500,,0,
1978,6,7,United States,Illinois,Chicago,41.764636,-87.686908,2519 West 71st St.,0,0,3,Bombing/Explosion,14,Private Citizens & Property,84,Political Party Member/Rally,Nazi Party of America,Chicago headquarters of the Nazi Party of America,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,"bomb consisting of three sticks of dynamite, batteries, wires, and attached to a small alarm clock",0,0,0,0,0,0,0,,,,,0,
1978,10,13,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,,Federal Savings Bank,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1981,11,5,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,2,Armed Assault,1,Business,3,Bank/Commerce,,Wells Fargo Armored Car,217,United States,Unknown,Left-Wing,NA,5,Firearms,Automatic firearm,0,,,0,,,1,4,Unknown,,Damages: stole armored vehicle,0,
1985,8,20,United States,New York,New York City,40.712784,-74.005941,,0,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Morgan Guaranty Trust Company,Office,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1985,8,20,United States,New York,New York City,40.712784,-74.005941,,0,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Chase Manhattan Bank,Headquarters,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1987,5,25,United States,Puerto Rico,Ponce,18.011091,-66.614182,,1,0,3,Bombing/Explosion,7,Government (Diplomatic),46,Embassy/Consulate,U.S. customs service,"officee, customs",217,United States,Guerrilla Forces for Liberation,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1987,5,25,United States,Puerto Rico,Aibonito,18.13996,-66.266,,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,postal service,post office,217,United States,Guerrilla Forces for Liberation,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1987,5,25,United States,Puerto Rico,Caguas,18.238724,-66.035227,,1,0,3,Bombing/Explosion,1,Business,7,Retail/Grocery/Bakery,New York Department Store,"New York Department Store, Caguas Puerto Rico",217,United States,Guerrilla Forces for Liberation,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Pipe bomb filled with black powder placed in a brown paper bag,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,
1987,5,25,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,bank,city bank,163,Puerto Rico,Guerrilla Forces for Liberation,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1987,5,25,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,us bank,citibank,217,United States,Guerrilla Forces for Liberation,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1987,5,25,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,u.s. bank,bank of boston,217,United States,Guerrilla Forces for Liberation,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1987,5,25,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),San Juan police,bomb disposal truck,217,United States,Guerrilla Forces for Liberation,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1989,6,20,United States,Puerto Rico,Caguas,18.238724,-66.035227,,1,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Chase Manhattan Bank,Branch,217,United States,Unknown,Left-Wing,NA,6,Explosives/Bombs/Dynamite,Explosive,0,0,,0,0,,1,,,,,0,
2016,10,16,United States,North Carolina,Hillsborough,36.060668,-79.101578,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,84,Political Party Member/Rally,Republican Party (GOP),Office,217,United States,Unknown,Left-Wing,NA,8,Incendiary,A firebomb was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A political office was damaged in this attack.,,
2016,11,23,United States,New Mexico,Albuquerque,35.083511,-106.586552,625 San Mateo Boulevard NE,1,0,7,Facility/Infrastructure Attack,1,Business,6,Medical/Pharmaceutical,Project Defending Life,Pro-Life Pregnancy Center,217,United States,Unknown,Left-Wing,NA,8,Incendiary,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,An office was damaged in this attack.,,
1970,1,9,United States,Puerto Rico,Rio Piedras,18.399712,-66.049987,Caparra Shopping Center,1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,American owned business in Puerto Rico,Baker's Store,217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,8,Incendiary,Fire set in back of store,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),2000000,Store destroyed,0,
1970,2,6,United States,Puerto Rico,Rio Piedras,18.399712,-66.049987,,1,0,7,Facility/Infrastructure Attack,21,Utilities,107,Electricity,General Electric,,217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,8,Incendiary,Firebomb,0,0,0,0,0,0,-9,4,Unknown,,It is unknown if the firebombs caused any damage,0,
1970,2,6,United States,Puerto Rico,Carolina,18.441963,-66.026316,Isla Verde district,1,0,7,Facility/Infrastructure Attack,1,Business,8,Hotel/Resort,Hotel,San Juan Hotel,163,Puerto Rico,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,8,Incendiary,Firebomb,0,0,0,0,0,0,-9,4,Unknown,,It is unknown if the firebombs caused any damage,0,
1970,2,6,United States,Puerto Rico,Dorado,18.460791,-66.264884,,1,0,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,Selective Service,Selective Service office in Dorado Puerto Rico,217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,8,Incendiary,Firebomb,0,0,0,0,0,0,-9,4,Unknown,,It is unknown if the firebombs caused any damage,0,
1970,2,8,United States,New York,New York City,40.678178,-73.944158,Brooklyn; Atlantic Terminal,1,0,3,Bombing/Explosion,1,Business,4,Multinational Corporation,General Electric,Brooklyn General Electric Service Center,217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,18-inch pipe bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Destroyed a door and shattered windows.,0,
1970,2,8,United States,New York,New York City,40.751212,-73.903649,Queens; Woodside,1,0,3,Bombing/Explosion,1,Business,4,Multinational Corporation,General Electric,Queens General Electric Service Center,217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Damaged air-conditioning unit and shattered windows.,0,
1970,2,9,United States,New York,New York City,40.78306,-73.971249,Manhattan,0,0,3,Bombing/Explosion,1,Business,4,Multinational Corporation,General Electric,General Electric Headquarters,217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Pipe bomb in a paper bag,0,0,0,0,0,0,0,,,,,0,
1970,3,5,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,1,Assassination,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",US Navy,Two members of the United States Navy,217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,5,Firearms,,2,2,0,0,0,0,0,,,,,0,
1970,3,15,United States,Puerto Rico,San Juan,18.46617,-66.106654,Outside of building,1,0,3,Bombing/Explosion,1,Business,7,Retail/Grocery/Bakery,Department Store,Kresge's Department Store,217,United States,Puerto Rican Nationalists,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Broken windows and smoke damage.,0,
1970,3,17,United States,California,Los Angeles,34.04773,-118.204709,450 Ficketts St.,1,0,3,Bombing/Explosion,8,Educational Institution,49,School/University/Educational Building,"Roosevelt High School, Los Angeles","Administration offices, Roosevelt High School",217,United States,Chicano Liberation Front,Nationalist,Mexican,6,Explosives/Bombs/Dynamite,Two bombs,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Little damages to administrative offices,0,
1970,3,21,United States,New York,New York City,40.78306,-73.971249,Manhattan,1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,Department Store,Bloomingdale's Department Store,217,United States,Puerto Rican Resistance Movement,Nationalist,Puerto Rican,8,Incendiary,"Cigarette box containing flammable material, batteries, and a watch mechanism",0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Suits were burnt,0,
1970,3,21,United States,New York,New York City,40.78306,-73.971249,Manhattan,1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,Department Store,Alexander's Department Store,217,United States,Puerto Rican Resistance Movement,Nationalist,Puerto Rican,8,Incendiary,"Cigarette box containing flammable material, batteries, and a watch mechanism",0,0,0,1,1,0,1,3,Minor (likely < $1 million),,Merchandise was slightly damaged,0,
1970,4,8,United States,California,Los Angeles,34.04773,-118.204709,450 Ficketts St.,1,0,7,Facility/Infrastructure Attack,8,Educational Institution,49,School/University/Educational Building,"Roosevelt High School, Los Angeles","Administration building, Roosevelt High School",217,United States,Chicano Liberation Front,Nationalist,Mexican,8,Incendiary,Arson,0,0,0,0,0,0,1,3,Minor (likely < $1 million),100000,Vice principal's offices and administrative offices destroyed.  Several classrooms damaged.,0,
1970,4,15,United States,California,Los Angeles,34.04773,-118.204709,450 Ficketts St.,1,0,7,Facility/Infrastructure Attack,8,Educational Institution,49,School/University/Educational Building,"Roosevelt High School, Los Angeles","Storage structure, Roosevelt High School",217,United States,Chicano Liberation Front,Nationalist,Mexican,8,Incendiary,Arson,0,0,0,0,0,0,1,3,Minor (likely < $1 million),20000,Storage structure damaged.,0,
1970,4,15,United States,California,Los Angeles,34.05349,-118.245319,,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,84,Political Party Member/Rally,,Building owned by pro-Castro sympathizers,217,United States,Cuban Exiles,Nationalist,Cuban,8,Incendiary,Chemical-type firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Building was damaged,0,
1970,4,15,United States,California,Los Angeles,34.0613,-118.203553,1549 Norfolk St.,1,0,7,Facility/Infrastructure Attack,8,Educational Institution,49,School/University/Educational Building,Los Angeles Board of Education,"Board of Education administration building, Los Angeles",217,United States,Chicano Liberation Front,Nationalist,Mexican,8,Incendiary,Arson,0,0,0,0,0,0,1,3,Minor (likely < $1 million),75000,East Los Angeles Superintendent's Office Destroyed,0,
1970,4,23,United States,Puerto Rico,Aguada,18.379626,-67.188421,Atop a mountain,0,0,3,Bombing/Explosion,3,Police,22,"Police Building (headquarters, station, school)",Puerto Rican Police Station,Police telecommunication devices,163,Puerto Rico,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,51 bombs were found minutes before they were set to explode.,0,0,0,0,0,0,0,,,,"In the four attacks, cumulatively, only two bombs exploded causing minor damage.",0,
1970,4,23,United States,Puerto Rico,Aguada,18.379626,-67.188421,Atop a mountain,0,0,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,U.S. Navy,U.S. Navy Relay Power Station,217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,51 bombs were found minutes before they were set to explode.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,"In the four attacks, cumulatively, only two bombs exploded causing minor damage.",0,
1970,4,23,United States,Puerto Rico,Aguada,18.379626,-67.188421,Atop a mountain,0,0,3,Bombing/Explosion,16,Telecommunication,90,Telephone/Telegraph,Puerto Rican telecommunications facility,Motorola,217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,51 bombs were found minutes before they were set to explode.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,"In the four attacks, cumulatively, only two bombs exploded causing minor damage.",0,
1970,4,23,United States,Puerto Rico,Aguada,18.379626,-67.188421,Atop a mountain,0,0,3,Bombing/Explosion,16,Telecommunication,90,Telephone/Telegraph,Puerto Rican telecommunications facility,International Telephone and Telegraph,217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,51 bombs were found minutes before they were set to explode.,0,0,0,0,0,0,0,,,,"In the four attacks, cumulatively, only two bombs exploded causing minor damage.",0,
1970,4,24,United States,New York,New York City,40.764469,-73.974488,Manhattan,0,0,1,Assassination,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Vice Premier of the Republic of China,Chiang Ching-kuo,44,China,The World United Formosans for Independence (WUFI),Nationalist,Taiwan,5,Firearms,Black automated pistol,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,The deflected bullet hit the Plaza Hotel's revolving glass door.,0,
1970,5,0,United States,Puerto Rico,Rio Piedras,18.399712,-66.049987,,1,0,3,Bombing/Explosion,1,Business,2,Restaurant/Bar/CafŽ,Burger King,Burger King across the street from the University of Puerto Rico,217,United States,Puerto Rican Nationalists,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Bomb,0,0,0,1,1,0,1,3,Minor (likely < $1 million),,,0,
1970,5,1,United States,New York,New York City,40.844782,-73.864827,The Bronx,1,0,3,Bombing/Explosion,1,Business,11,Entertainment/Cultural/Stadium/Casino,Bronx Theater,Dale Theater,217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Three concussion bombs,0,0,0,10,10,0,1,3,Minor (likely < $1 million),,Theater sustained minor damages,0,
1970,5,1,United States,New York,New York City,40.860619,-73.898915,The Bronx,1,0,3,Bombing/Explosion,1,Business,11,Entertainment/Cultural/Stadium/Casino,Bronx Theater,Paradise Theater,217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,One concussion bomb,0,0,0,1,1,0,1,3,Minor (likely < $1 million),,Theater sustained minor damages,0,
1970,5,16,United States,New York,New York City,40.712784,-74.005941,,0,0,3,Bombing/Explosion,4,Military,28,Military Recruiting Station/Academy,U.S. Military,Recruiting Station,217,United States,Cuban Action,Nationalist,Cuban,6,Explosives/Bombs/Dynamite,Bomb in loaf of bread,0,,,0,,,1,,,,,0,
1970,11,14,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,1,Business,8,Hotel/Resort,,Hotel,217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),2000,,0,
1970,11,14,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,1,Business,8,Hotel/Resort,,Hotel,217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),1500,,0,
1970,11,14,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,1,Business,8,Hotel/Resort,,Hotel,217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),2000,,0,
1970,11,14,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,1,Business,8,Hotel/Resort,,Hotel,217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),3000,,0,
1970,11,23,United States,Puerto Rico,San Juan,18.46617,-66.106654,,1,0,3,Bombing/Explosion,7,Government (Diplomatic),46,Embassy/Consulate,,Dominican Consulate,58,Dominican Republic,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),3000,,0,
1970,11,25,United States,Puerto Rico,San Juan,18.46617,-66.106654,,0,0,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,R.O.T.C.,"R.O.T.C. building, University of Puerto Rico",217,United States,Armed Commandos of Liberation,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Fragmentation device,0,0,0,0,0,0,0,,,,,0,
1970,12,14,United States,New York,New York City,40.712784,-74.005941,,1,0,3,Bombing/Explosion,1,Business,4,Multinational Corporation,,General Electric Corporate Headquarters,217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1970,12,14,United States,Connecticut,Bridgeport,41.18188,-73.191269,Porch of building,1,0,7,Facility/Infrastructure Attack,12,NGO,61,Domestic NGO,Antipoverty Agency,"Antipoverty Agency Headquarters, Bridgeport Connecticut",217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,8,Incendiary,Gasoline poured on porch set off by a firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Records and food destroyed.  Office burned out.,0,
1971,1,29,United States,California,Los Angeles,34.05349,-118.245319,,1,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,,Federal Building,217,United States,Chicano Liberation Front,Nationalist,Mexican,6,Explosives/Bombs/Dynamite,Explosive,1,,,0,,,1,,,,,0,
1971,2,16,United States,Puerto Rico,Rio Piedras,18.399712,-66.049987,De Diego Ave.,0,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,American owned business in Puerto Rico,"Franklin's Store, Rio Piedras",217,United States,Puerto Rican Nationalists,Nationalist,Puerto Rican,8,Incendiary,Incendiary device,0,0,0,0,0,0,0,,,,,0,
1971,2,16,United States,Puerto Rico,Carolina,18.442164,-66.026298,Isla Verde,1,0,3,Bombing/Explosion,1,Business,8,Hotel/Resort,American establishments in Puerto Rico,El San Juan Hotel,217,United States,Puerto Rican Nationalists,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Concussion bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),5500,Doors broken and windows shattered,0,
1971,2,16,United States,Puerto Rico,Carolina,18.442164,-66.026298,Isla Verde,1,0,3,Bombing/Explosion,1,Business,8,Hotel/Resort,American establishments in Puerto Rico,Hotel Americana,217,United States,Puerto Rican Nationalists,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Concussion bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),5000,Doors broken and windows shattered,0,
1971,2,16,United States,Puerto Rico,San Juan,18.466684,-66.10813,Old San Juan,0,0,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,United States Coast Guard,United States Coast Guard radio beacon tower in San Juan Puerto Rico,217,United States,Puerto Rican Nationalists,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Pipe bomb,0,0,0,0,0,0,0,,,,,0,
1971,2,16,United States,Puerto Rico,San Juan,18.466684,-66.10813,Old San Juan,0,0,7,Facility/Infrastructure Attack,1,Business,4,Multinational Corporation,American owned business in Puerto Rico,Office building housing American businesses in the Old City of San Juan,217,United States,Puerto Rican Nationalists,Nationalist,Puerto Rican,8,Incendiary,Three Molotov cocktails,0,0,0,0,0,0,0,,,,,0,
1971,2,22,United States,California,Los Angeles,34.05349,-118.245319,,1,0,3,Bombing/Explosion,1,Business,,,Office of an anti-militant Chicano,Realty Office,217,United States,Chicano Liberation Front,Nationalist,Mexican,6,Explosives/Bombs/Dynamite,Bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,
1971,2,27,United States,Puerto Rico,Rio Piedras,18.399712,-66.049987,,0,0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Selective Service,"Selective Service office, Rio Piedras",217,United States,Puerto Rican Nationalists,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Bomb,0,0,0,0,0,0,-9,4,Unknown,,,0,
1971,3,1,United States,California,Vernon,34.004995,-118.230244,,0,0,3,Bombing/Explosion,1,Business,3,Bank/Commerce,,Bank,217,United States,Chicano Liberation Front,Nationalist,Mexican,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,4,Unknown,,,0,
1971,3,1,United States,New York,New York City,40.712784,-74.005941,,1,0,3,Bombing/Explosion,8,Educational Institution,49,School/University/Educational Building,,New School for Social Research,217,United States,Puerto Rican Resistance Movement,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,,,,,0,
1971,3,19,United States,New York,New York City,40.78306,-73.971249,Manhattan,1,0,7,Facility/Infrastructure Attack,1,Business,7,Retail/Grocery/Bakery,Department Store,B. Altman Department Store,217,United States,Armed Revolutionary Independence Movement (MIRA),Nationalist,Puerto Rican,8,Incendiary,"There were three incendiary devices that were cigarette packs containing chemicals, batteries, and watch wires.",0,0,0,0,0,0,1,3,Minor (likely < $1 million),50,Carpet damage,0,
1971,3,30,United States,New York,New York City,40.712784,-74.005941,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,82,Labor Union Related,,Cuban Health Exchange,51,Cuba,Secret Cuban Government,Nationalist,Cuban,6,Explosives/Bombs/Dynamite,Explosive,0,,,0,,,1,4,Unknown,,,0,
1971,4,8,United States,California,Fresno,36.736419,-119.789196,Men's Restroom,1,0,3,Bombing/Explosion,2,Government (General),14,Judge/Attorney/Court,Courthouse,Fresno County Courthouse,217,United States,Chicano Liberation Front,Nationalist,Mexican,6,Explosives/Bombs/Dynamite,Bomb placed in toilet,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Door of bathroom shattered and small hole ripped through wall,0,
1971,4,14,United States,Puerto Rico,San Juan,18.46617,-66.106654,,0,0,3,Bombing/Explosion,1,Business,8,Hotel/Resort,Hilton Hotels,"Caribe Hilton Hotel, San Juan",217,United States,Puerto Rican Nationalists,Nationalist,Puerto Rican,6,Explosives/Bombs/Dynamite,Powerful bomb,0,0,0,0,0,0,0,,,,,0,
